location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Republic of Guinea,GIN,1244.96550477914,0.0507097509210789,0.0398151297851331,0.0063804754980726,0.006163915015076,0.0661854637822113,0.0394862402767424,3.635707512467049,8.230707906961308
Republic of Guinea-Bissau,GNB,900.407780831491,0.0477640773514844,0.0381032347843627,0.0063796875802424,0.0062237933550795,0.067764503947385,0.0402000095174007,5.328730646178169,17.318885058801666
Republic of Guyana,GUY,9860.87233445443,0.0939036378015159,0.0530484188855069,0.0129584703785644,0.0114292224629767,0.1001584480022179,0.0628159989765267,13.095780608075884,69.90529882291709
Republic of Haiti,HTI,1835.44394078496,0.0864459091240098,0.0486854699140075,0.0128299858226667,0.0113689268517182,0.0653812590562883,0.0362031080712608,5.839723338823834,12.778995958007876
Republic of Honduras,HND,2735.14751503977,0.088710997008966,0.051265221048572,0.0125364295634684,0.0110075763994504,0.0572125315146656,0.0326528638420034,2.030688066994854,7.218245098174096
Republic of Iceland,ISL,69325.9078287926,0.0908755145084382,0.0525897541073176,0.0127402094053632,0.0096986161603635,0.0583095807997188,0.0353862447816849,4.22335873311195,22.95612775929228
Republic of India,IND,2239.61384367482,0.0563871232675742,0.0367321878609036,0.0038949152530181,0.0047223909580328,0.0605497045207448,0.044618123006479,14.859478772499196,20.23072047648221
Republic of Indonesia,IDN,4287.17313989405,0.0692738503667498,0.0398311658270283,0.0043571819010957,0.0042467294427354,0.0425606796113692,0.0299242247871579,0.9863012892435704,2.43565760479994
Republic of Iraq,IRQ,4868.49431080783,0.1048263931689772,0.0510512157825486,0.0104223637923449,0.0089938865095233,0.0720408682599562,0.0481402808426024,3.220163276075324,8.613449414137127
Republic of Italy,ITA,36852.5425414951,0.1114011947843031,0.057842519306328,0.0136825445843257,0.0090532792233517,0.0819116842894722,0.044888763098238,2.076296856328058,7.936082861975851
