location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Republic of Nauru,NRU,9.615116225608052,-2.7389971249281237,-3.2303010543772457,-5.666671781015633,-5.685570678287045,-3.0516069820087086,-3.2514710018008874,18.680107324481565,58.88041630793925
Republic of Nicaragua,NIC,7.663224372536095,-2.4653065843197,-3.0222252765817577,-4.3583260889249695,-4.503404535588711,-2.8123330506412367,-3.2931428192555012,3.7465004874113546,12.244161685955612
Republic of Palau,PLW,9.492296583335822,-2.765479715892771,-3.259796896059705,-5.614896109632512,-5.633800360536441,-2.990305718711426,-3.1921065534624105,19.711276092488013,25.21586852776052
Republic of Panama,PAN,9.64922780676868,-2.5487739097815574,-3.1032932478529083,-4.361184455276777,-4.498196802899007,-2.913424932225173,-3.362742649821396,2.506712709054092,10.93250326054298
Republic of Paraguay,PRY,8.69566263800118,-1.9077858975184392,-2.588553909946148,-4.117309934394375,-4.247389108616521,-2.6231677004812575,-3.4466740250010757,3.750391049553931,10.510578219949744
Republic of Peru,PER,8.82863651707072,-2.0819068009103403,-2.634110077050779,-4.33460246686851,-4.456555596397406,-3.1299060049839107,-3.6542203262089523,1.9388522458963755,5.509649890135139
Republic of Poland,POL,9.832824205666153,-2.7143846692744242,-3.285331426739534,-4.895399482176555,-4.997357911673465,-3.2083733457695702,-3.3574969882002366,3.5692412349890605,29.894290331974503
Republic of Rwanda,RWA,6.720018726889792,-2.7189245022824746,-3.0528819632018496,-4.862027908977694,-4.896616574086833,-2.5049988106848033,-3.0854518995804323,3.3778913305852822,11.54414917201755
Republic of San Marino,SMR,10.899863751039213,-2.2369254827306415,-2.7870072056694903,-4.328105126670922,-4.595320717693419,-2.407252567194582,-2.891453602289074,2.584170540128066,11.078021452919046
Republic of Senegal,SEN,7.3765749385640325,-2.9988531822661257,-3.226151589853788,-5.043590799958053,-5.080904560671734,-2.8180331167303496,-3.177336138746266,2.902969125188988,11.824332048112293
Republic of Serbia,SRB,9.177871722248542,-2.6873467175000365,-3.2675438306366886,-4.9220023728572535,-5.014425689535319,-2.9419060602152003,-3.462821991248283,4.34325626794549,15.968415216896794
Republic of Seychelles,SYC,9.614665573889853,-2.6293806642833624,-3.19452471740306,-5.4326022794791085,-5.456821694691201,-3.119352141373915,-3.2927188344047096,1.4231726235702604,10.95290499037092
Republic of Sierra Leone,SLE,6.785795838768656,-3.0498990925058793,-3.2789157572663346,-5.053259349405354,-5.078790184939875,-2.773882865811522,-3.282695688765297,3.4824763948128497,7.774964132878163
Republic of Singapore,SGP,11.284787122456882,-2.9823955761575762,-3.552987551520265,-4.624748888105113,-4.831236428450666,-3.352391377463306,-3.603161848105702,4.418157925805463,9.59022907212589
Republic of Slovenia,SVN,10.28149133929323,-2.7163888384375716,-3.307729892469708,-4.901412244751807,-5.001137064703202,-2.808572955131643,-3.400167262875385,3.2691260594011946,17.127879817671435
Republic of South Africa,ZAF,8.831039878219144,-2.5807828505914756,-2.9594129772471964,-4.949728947626625,-4.9600922830098275,-2.4931654249043773,-2.8863559367326044,6.481765772435334,36.13567849323917
Republic of Sudan,SDN,6.568249258075882,-2.320998084451653,-2.886777180508964,-4.488265058114898,-4.631068509693749,-2.582076830516633,-2.801075058997881,5.189268723328159,8.95201813438454
Republic of Suriname,SUR,8.523145120579768,-2.370175426656703,-2.9369279722711292,-4.345397062469572,-4.465653443745289,-2.333068394413577,-2.7805677513011404,12.45718599180276,44.14590055315696
Republic of Tajikistan,TJK,6.798774945651387,-3.127383824955756,-3.6159625824796784,-5.006850855103915,-5.067704520168044,-3.0072283002226734,-3.449939468268761,2.440875310092145,7.228896075046438
Republic of Trinidad and Tobago,TTO,9.793254665273524,-2.39261678874067,-2.9649601534000944,-4.335184845343274,-4.459327726855226,-2.5653256743209347,-2.922134852384458,4.991451619364483,25.799929129084493
Republic of Tunisia,TUN,8.264950760779358,-2.179777665319149,-2.7527685225596987,-4.471624153041756,-4.603907015073976,-2.270269099912966,-2.57587527259041,2.3265927772006743,6.011920175911173
Republic of Uganda,UGA,6.78308929230697,-2.7306226589069995,-2.9705746182321437,-4.875056141437883,-4.923708642757257,-2.360108583855047,-2.6392550994102932,2.1663841203045857,12.229871494394317
Republic of Uzbekistan,UZB,7.722464851622166,-3.310661907478803,-3.7832714403491203,-5.005282197201504,-5.059034909926095,-2.9688146398037643,-3.280672493944396,8.401924031400242,17.49632621270959
Republic of Vanuatu,VUT,8.041478284977298,-2.7331250368343145,-3.2304841863938663,-5.6600593476722585,-5.69050964713492,-3.121303478825785,-3.297630337054274,11.934748583195868,43.57722542246479
Republic of Zambia,ZMB,7.027457164670876,-2.637362009008287,-2.9851841410574345,-4.873729600497641,-4.913116143487609,-2.767932072758884,-3.0473219203860338,3.4705617345600257,16.69643028863375
